id,branch_company_id,barcode,participant_id,composition_id,cash_flow_id,title,type,complement,origin_document,due_date,emission_date,entry_date,paid,remittance_generated,supply_type,discount,other_entities_amount,value,increase,cost_center_id,transaction_id,tribute_id,receipt_code,fgts_id,darf_reference_number,inclusion_type,period,contributor_id,lacre_c_social,created_by,created_date,last_modified_by,last_modified_date
12,1,,29,,19,PROC(36507.47992) 1/1,ACTUAL,"Conta a pagar referente ao processamento de Pedido de Certificado Tesouro Verde com ID (560), originado por instituto conquistense de mastologia, através da transação 47992 com a quantidade de 1 ucs. Pagamento  a vista.",DOC.36507.47992,2022-10-10,2022-09-27,2022-09-27,t,f,ASSETS,0.00,0.00,72.00,0.00,1,47992,,,,,AUTOMATIC,,,,0,2022-09-27 17:01:03.288094,0,2022-09-27 17:01:03.288094
10,1,,8,,19,PROC(36506.47988) 1/1,ACTUAL,"Conta a pagar referente ao processamento de Pedido de Certificado Tesouro Verde com ID (558), originado por GRUPO CRISTAL SOLAR EIRELI, através da transação 47988 com a quantidade de 1 ucs. Pagamento  a vista.",DOC.36506.47988,2022-10-10,2022-09-27,2022-09-27,f,f,ASSETS,0.00,0.00,72.00,0.00,1,47988,,,,,AUTOMATIC,,,,0,2022-09-27 11:16:34.190006,0,2022-09-27 11:16:34.190006
11,1,,9,,19,PROC(36506.47989) 1/1,ACTUAL,"Conta a pagar referente ao processamento de Pedido de Certificado Tesouro Verde com ID (558), originado por GRUPO CRISTAL SOLAR EIRELI, através da transação 47989 com a quantidade de 1 ucs. Pagamento  a vista.",DOC.36506.47989,2022-10-10,2022-09-27,2022-09-27,f,f,ASSETS,0.00,0.00,72.00,0.00,1,47989,,,,,AUTOMATIC,,,,0,2022-09-27 11:16:34.21082,0,2022-09-27 11:16:34.21082
6,1,,5,6,37,2229552714,ACTUAL,,109284287428,2022-10-22,2022-09-22,2022-09-30,t,f,,0.00,0.00,3600.00,0.00,1,,,,,,MANUAL,,,,890,2022-09-22 15:31:25.783592,890,2022-09-22 15:31:25.783592
8,1,,6,8,124,37333,ACTUAL,,10910005845,2022-09-28,2022-09-01,2022-08-31,t,f,,0.00,0.00,221.44,0.00,1,,,,,,MANUAL,,,,890,2022-09-27 09:46:06.810411,890,2022-09-27 09:46:06.810411
4,1,846400000010734700820891999572743113558219264998,1,,66,15582192640,ACTUAL,,15582192640,2022-09-25,2022-09-09,2022-09-30,t,f,,0.00,0.00,173.47,0.00,1,,,,,,MANUAL,,,,890,2022-09-22 15:17:41.408981,890,2022-09-22 15:17:41.408981
19,1,,34,,131,280922INSPIRE,ACTUAL,,280922INSPIRE,2022-09-29,2022-09-28,2022-09-01,t,f,SERVICES,0.00,0.00,20000.00,0.00,1,,,,,,MANUAL,,,,890,2022-09-28 11:42:48.524044,890,2022-09-28 14:48:41.353348
18,1,,33,12,93,242852,ACTUAL,,109000672037,2022-09-29,2022-09-15,2022-09-15,t,f,,0.00,0.00,231.67,0.00,1,,,,,,MANUAL,,,,890,2022-09-28 10:03:21.684659,890,2022-09-28 10:03:21.684659
3152,1,,534,,81,39635,ACTUAL,SEM PARAR\n,39635,2023-05-15,2023-05-15,2023-05-15,t,f,,0.0,0.0,396.35,0.0,2,,,,,,MANUAL,,,,1406,2023-05-18 12:58:04.854441,1406,2023-05-18 12:58:04.854441
526,1,,102,78,19,PROC(36581.48723) 1/1,ACTUAL,"Conta a pagar referente ao processamento de Pedido de Selo Distribuidor Credenciado com ID (373), originado por GRACITA HORTENCIA DOS SANTOS BARBOSA INTERNEDIAÇÕES DE NEGÓCIOS LTDA, através da transação 48723 com a quantidade de 1 ucs. Pagamento  a vista.",DOC.36581.48723,2022-11-10,2022-10-31,2022-10-31,t,f,ASSETS,0.00,0.00,68.37,0.00,1,48723,,,,,AUTOMATIC,,,,0,2022-10-31 15:13:02.120955,0,2022-10-31 15:13:02.120955
310,1,,115,,19,PROC(36571.48472) 1/1,ACTUAL,"Conta a pagar referente ao processamento de Pedido de Compra com ID (17), originado por Bmtca, através da transação 48472 com a quantidade de 87 ucs. Pagamento  a vista.",DOC.36571.48472,2022-11-10,2022-10-26,2022-10-26,t,f,ASSETS,0.00,0.00,8787.00,0.00,1,48472,,,,,AUTOMATIC,,,,0,2022-10-26 16:23:24.595886,0,2022-10-26 16:23:24.595886
25,1,,46,,156,300922Liana,ACTUAL,,300922Liana,2022-09-30,2022-09-30,2022-09-30,t,f,OTHER,0.00,0.00,2357.38,0.00,1,,,,,,MANUAL,,,,890,2022-09-30 10:28:14.841554,890,2022-09-30 10:28:14.841554
20,1,858800000083334503852221730701222510553507840332,35,,134,07012225155350784,ACTUAL,,07012225155350784,2022-09-30,2022-09-30,2021-12-31,t,f,,0.00,0.00,833.45,0.00,1,,,,,,MANUAL,,,,890,2022-09-28 11:54:26.476661,890,2022-09-28 11:54:49.763771
759,1,,422,,126,0025,ACTUAL,,0025,2022-11-23,2022-11-23,2022-11-23,t,t,,0.00,0.00,10000.00,0.00,2,,,,,,MANUAL,,,,890,2022-11-23 12:40:31.479806,890,2022-11-23 12:40:31.479806
739,1,,295,94,92,89096,ACTUAL,,34882830000011378,2022-11-21,2022-11-04,2022-11-04,t,f,,0.00,0.00,74.01,0.00,2,,,,,,MANUAL,,,,890,2022-11-21 08:51:42.028913,890,2022-11-21 09:04:31.135827
30,1,,41,,165,031022Tereza,ACTUAL,,031022Tereza,2022-10-03,2022-09-30,2022-09-30,t,f,SERVICES,0.00,0.00,40850.00,0.00,2,,,,,,MANUAL,,,,890,2022-09-30 11:40:12.634508,890,2022-09-30 13:12:43.435816
809,1,,6,113,124,37731,ACTUAL,,10910006000,2022-11-29,2022-11-01,2022-11-01,t,f,,0.00,0.00,877.29,0.00,2,,,,,,MANUAL,,,,890,2022-11-29 10:28:40.083224,890,2022-11-29 10:28:40.083224
37,1,,47,,115,031022LaisPDS,ACTUAL,Pagamento Lais - PDS,031022LaisPDS,2022-10-03,2022-09-30,2022-09-30,t,f,,0.00,0.00,1777.00,0.00,1,,,,,,MANUAL,,,,890,2022-09-30 13:32:23.035251,890,2022-09-30 13:33:57.9623
23,1,,37,,50,031022Thamires,ACTUAL,,031022Thamires,2022-10-03,2022-09-26,2022-09-30,t,f,OTHER,0.00,0.00,2301.96,0.00,2,,,,,,MANUAL,,,,890,2022-09-30 09:25:28.805137,890,2022-09-30 09:25:28.805137
36,1,,47,,115,031022Lais,ACTUAL,Pagamento Dora Umbelino 3/4,031022Lais,2022-10-03,2022-09-30,2022-09-30,t,f,,0.00,0.00,44425.00,0.00,1,,,,,,MANUAL,,,,890,2022-09-30 13:29:28.24683,890,2022-09-30 13:34:16.254194
34,1,,42,,165,031022Luzia,ACTUAL,,031022Luzia,2022-10-03,2022-09-30,2022-09-30,t,f,SERVICES,0.00,0.00,15000.00,0.00,1,,,,,,MANUAL,,,,890,2022-09-30 13:16:33.237939,890,2022-09-30 13:16:33.237939
1105,1,,50,,129,141222CópiadeChaves,ACTUAL,,3026,2022-12-14,2022-12-14,2022-12-14,t,f,OTHER,0.00,0.00,90.00,0.00,1,,,,,,MANUAL,,,,1406,2022-12-14 17:02:39.846693,1406,2022-12-14 17:02:39.846693
33,1,,46,,165,031022Liana,ACTUAL,,031022Liana,2022-10-03,2022-09-30,2022-09-30,t,f,SERVICES,0.00,0.00,10000.00,0.00,1,,,,,,MANUAL,,,,890,2022-09-30 13:14:49.13344,890,2022-09-30 13:14:49.13344
21,1,,40,13,59,109016290988,ACTUAL,,109016290988,2022-10-01,2022-09-16,2022-10-01,t,f,,0.00,0.00,9276.33,0.00,2,,,,,,MANUAL,,,,890,2022-09-30 09:18:05.739258,890,2022-09-30 09:18:05.739258
32,1,,45,,165,031022Pamela,ACTUAL,,031022Pamela,2022-10-03,2022-09-30,2022-09-30,t,f,SERVICES,0.00,0.00,15000.00,0.00,2,,,,,,MANUAL,,,,890,2022-09-30 13:12:31.339466,890,2022-09-30 13:12:31.339466
31,1,,49,,165,031022Fernando,ACTUAL,,031022Fernando,2022-10-03,2022-09-30,2022-09-30,t,f,SERVICES,0.00,0.00,10000.00,0.00,2,,,,,,MANUAL,,,,890,2022-09-30 13:10:49.96889,890,2022-09-30 13:10:49.96889
315,1,,68,,19,PROC(36571.48476) 1/1,ACTUAL,"Conta a pagar referente ao processamento de Pedido de Compra com ID (17), originado por Bmtca, através da transação 48476 com a quantidade de 87 ucs. Pagamento  a vista.",DOC.36571.48476,2022-11-10,2022-10-26,2022-10-26,t,f,ASSETS,0.00,0.00,8787.00,0.00,1,48476,,,,,AUTOMATIC,,,,0,2022-10-26 16:23:24.670794,0,2022-10-26 16:23:24.670794
29,1,,44,,165,031022Alessandra,ACTUAL,,031022Alessandra,2022-10-03,2022-09-30,2022-09-30,t,f,SERVICES,0.00,0.00,15000.00,0.00,2,,,,,,MANUAL,,,,890,2022-09-30 11:37:06.551825,890,2022-09-30 13:12:58.200372
365,1,,197,,19,PROC(36571.48518) 1/1,ACTUAL,"Conta a pagar referente ao processamento de Pedido de Compra com ID (17), originado por Bmtca, através da transação 48518 com a quantidade de 87 ucs. Pagamento  a vista.",DOC.36571.48518,2022-11-10,2022-10-26,2022-10-26,t,f,ASSETS,0.00,0.00,8787.00,0.00,1,48518,,,,,AUTOMATIC,,,,0,2022-10-26 16:23:25.511961,0,2022-10-26 16:23:25.511961
39,1,,41,,176,031022BMVPortugal,ACTUAL,Repasse BMV Portugal,031022BMVPortugal,2022-10-03,2022-09-30,2022-09-30,t,f,OTHER,0.00,0.00,41900.00,0.00,1,,,,,,MANUAL,,,,890,2022-09-30 13:36:37.3852,890,2022-09-30 13:36:37.3852
373,1,,208,,19,PROC(36571.48591) 1/1,ACTUAL,"Conta a pagar referente ao processamento de Pedido de Compra com ID (17), originado por Bmtca, através da transação 48591 com a quantidade de 348 ucs. Pagamento  a vista.",DOC.36571.48591,2022-11-10,2022-10-26,2022-10-26,t,f,ASSETS,0.00,0.00,35148.00,0.00,1,48591,,,,,AUTOMATIC,,,,0,2022-10-26 16:23:25.662819,0,2022-10-26 16:23:25.662819
28,1,,50,,165,031022Andre,ACTUAL,,031022Andre,2022-10-03,2022-09-30,2022-09-30,t,f,SERVICES,0.00,0.00,9000.00,0.00,1,,,,,,MANUAL,,,,890,2022-09-30 11:34:52.713605,890,2022-09-30 13:13:09.685614
506,1,,221,79,19,PROC(36580.48712) 1/1,ACTUAL,"Conta a pagar referente ao processamento de Pedido de Selo Distribuidor Credenciado com ID (384), originado por ZENATUR TRANSPORTES DE CARGAS LTDA, através da transação 48712 com a quantidade de 1 ucs. Pagamento  a vista.",DOC.36580.48712,2022-11-10,2022-10-31,2022-10-31,t,f,ASSETS,0.00,0.00,72.45,0.00,1,48712,,,,,AUTOMATIC,,,,0,2022-10-31 15:12:51.809512,0,2022-10-31 15:12:51.809512
38,1,,52,,115,031022TulioPDS,ACTUAL,Pagamento Tulio - PDS\n,031022TulioPDS,2022-10-03,2022-09-30,2022-09-30,t,f,,0.00,0.00,1777.00,0.00,1,,,,,,MANUAL,,,,890,2022-09-30 13:33:46.376643,890,2022-09-30 13:33:46.376643
26,1,,39,15,59,109093873390,ACTUAL,,109093873390,2022-10-01,2022-09-29,2022-09-30,t,f,,0.00,0.00,1685.62,0.00,2,,,,,,MANUAL,,,,890,2022-09-30 10:45:21.851828,890,2022-09-30 10:45:21.851828
855,1,,424,,56,021222Lilian,ACTUAL,,021222Lilian,2022-12-02,2022-12-02,2022-12-02,t,t,,0.00,0.00,270.00,0.00,1,,,,,,MANUAL,,,,890,2022-12-02 12:27:33.884856,890,2022-12-02 12:27:33.884856
41,1,,29,66,19,PROC(36510.48006) 1/1,ACTUAL,"Conta a pagar referente ao processamento de Pedido de Certificado Tesouro Verde com ID (563), originado por VIA MARCONI VEICULOS LTDA, através da transação 48006 com a quantidade de 1 ucs. Pagamento  a vista.",DOC.36510.48006,2022-11-10,2022-10-03,2022-10-03,t,f,ASSETS,0.00,0.00,72.00,0.00,1,48006,,,,,AUTOMATIC,,,,0,2022-10-03 09:24:36.586204,0,2022-10-03 09:24:36.586204
24,1,,38,,58,011022Lace,ACTUAL,,011022Lace,2022-10-03,2022-09-30,2022-10-01,t,f,,0.00,0.00,3600.00,0.00,1,,,,,,MANUAL,,,,890,2022-09-30 09:37:01.445317,890,2022-09-30 09:37:01.445317
854,1,,28,,98,3543,ACTUAL,Vistoria Veicular de Transferência Jeep,3543,2022-12-02,2022-12-01,2022-12-01,t,t,OTHER,0.00,0.00,108.00,0.00,1,,,,,,MANUAL,,,,890,2022-12-02 12:25:07.312746,890,2022-12-02 12:25:07.312746
853,1,,5,119,37,109287908863,ACTUAL,,109287908863,2022-12-31,2022-12-01,2022-12-06,t,f,,0.00,0.00,2280.00,0.00,2,,,,,,MANUAL,,,,890,2022-12-02 12:18:22.991897,890,2022-12-02 12:18:22.991897
889,1,,441,,131,0011222,ACTUAL,Infratoken - Pagto  referente investimento Munditoken,0011222,2022-12-07,2022-12-05,2022-12-05,t,t,,0.00,0.00,30981.00,0.00,2,,,,,,MANUAL,,,,890,2022-12-06 10:00:07.90728,890,2022-12-06 10:00:07.90728
890,1,,90,,34,061222Cleuza,ACTUAL,,061222Cleuza,2022-12-06,2022-12-06,2022-12-06,t,t,,0.00,0.00,4000.00,0.00,2,,,,,,MANUAL,,,,890,2022-12-06 10:04:01.131076,890,2022-12-06 10:04:01.131076
687,1,,148,169,19,PROC(36625.48864) 1/1,ACTUAL,"Conta a pagar referente ao processamento de Pedido de Certificado Tesouro Verde com ID (564), originado por SAMBAZON, através da transação 48864 com a quantidade de 1 ucs. Pagamento  a vista.",DOC.36625.48864,2022-12-10,2022-11-16,2022-11-16,f,f,ASSETS,0.00,0.00,72.00,0.00,1,48864,,,,,AUTOMATIC,,,,0,2022-11-16 09:37:59.675428,0,2022-11-16 09:37:59.675428
897,1,,37,,122,061222Thamires-premiação,ACTUAL,"Salário líquido R$2.668,98 + R$331,02 = R$3.000,00 líquido.",061222Thamires-premiação,2022-12-06,2022-12-06,2022-12-06,t,t,OTHER,0.00,0.00,331.02,0.00,2,,,,,,MANUAL,,,,890,2022-12-06 11:51:33.548203,890,2022-12-06 11:51:33.548203
22,1,,36,14,125,10961,ACTUAL,,32249760000001351,2022-10-03,2022-09-27,2022-09-30,t,f,,0.00,0.00,2424.00,0.00,1,,,,,,MANUAL,,,,890,2022-09-30 09:22:57.072402,890,2022-12-14 08:45:58.625965
856,1,,41,,115,021222Dora,ACTUAL,"Pagamento  Dora - R$ 22.212,50\nPagamento Tulio e Lais - R$3.554,00",021222Dora,2022-12-02,2022-12-02,2022-12-02,t,t,OTHER,0.00,0.00,25776.50,0.00,1,,,,,,MANUAL,,,,890,2022-12-02 12:32:00.55385,890,2022-12-02 12:32:00.55385
46,1,,56,,19,PROC(36510.48003) 1/1,ACTUAL,"Conta a pagar referente ao processamento de Pedido de Certificado Tesouro Verde com ID (563), originado por VIA MARCONI VEICULOS LTDA, através da transação 48003 com a quantidade de 1 ucs. Pagamento  a vista.",DOC.36510.48003,2022-11-10,2022-10-03,2022-10-03,f,f,ASSETS,0.00,0.00,72.00,0.00,1,48003,,,,,AUTOMATIC,,,,0,2022-10-03 09:24:36.689681,0,2022-10-03 09:24:36.689681
47,1,,57,,19,PROC(36510.48004) 1/1,ACTUAL,"Conta a pagar referente ao processamento de Pedido de Certificado Tesouro Verde com ID (563), originado por VIA MARCONI VEICULOS LTDA, através da transação 48004 com a quantidade de 1 ucs. Pagamento  a vista.",DOC.36510.48004,2022-11-10,2022-10-03,2022-10-03,f,f,ASSETS,0.00,0.00,72.00,0.00,1,48004,,,,,AUTOMATIC,,,,0,2022-10-03 09:24:36.700777,0,2022-10-03 09:24:36.700777
829,1,,388,115,105,6079494985,ACTUAL,,6079494985,2022-11-30,2022-10-31,2022-11-30,t,f,,0.00,0.00,715.44,0.00,2,,,,,,MANUAL,,,,890,2022-11-29 16:31:17.372858,890,2022-11-29 16:31:17.372858
305,1,,368,44,126,09220600000139,ACTUAL,,09220600000139,2022-10-27,2022-07-25,2022-09-30,t,f,,0.00,0.00,2500.00,0.00,2,,,,,,MANUAL,,,,890,2022-10-26 10:53:28.390312,890,2022-10-26 10:53:28.390312
893,1,,97,,165,061222Giseli,ACTUAL,,061222Giseli,2022-12-06,2022-12-06,2022-12-06,t,t,,0.00,0.00,7500.00,0.00,2,,,,,,MANUAL,,,,890,2022-12-06 10:07:33.967479,890,2022-12-06 10:07:33.967479
53,1,,61,,19,PROC(36511.48009) 1/1,ACTUAL,"Conta a pagar referente ao processamento de Pedido de Certificado Tesouro Verde com ID (562), originado por MISO VEICULOS LTDA, através da transação 48009 com a quantidade de 1 ucs. Pagamento  a vista.",DOC.36511.48009,2022-11-10,2022-10-03,2022-10-03,f,f,ASSETS,0.00,0.00,72.00,0.00,1,48009,,,,,AUTOMATIC,,,,0,2022-10-03 09:25:41.648786,0,2022-10-03 09:25:41.648786
54,1,,62,,19,PROC(36511.48014) 1/1,ACTUAL,"Conta a pagar referente ao processamento de Pedido de Certificado Tesouro Verde com ID (562), originado por MISO VEICULOS LTDA, através da transação 48014 com a quantidade de 1 ucs. Pagamento  a vista.",DOC.36511.48014,2022-11-10,2022-10-03,2022-10-03,f,f,ASSETS,0.00,0.00,72.00,0.00,1,48014,,,,,AUTOMATIC,,,,0,2022-10-03 09:25:41.660192,0,2022-10-03 09:25:41.660192
55,1,,63,,19,PROC(36511.48010) 1/1,ACTUAL,"Conta a pagar referente ao processamento de Pedido de Certificado Tesouro Verde com ID (562), originado por MISO VEICULOS LTDA, através da transação 48010 com a quantidade de 1 ucs. Pagamento  a vista.",DOC.36511.48010,2022-11-10,2022-10-03,2022-10-03,f,f,ASSETS,0.00,0.00,72.00,0.00,1,48010,,,,,AUTOMATIC,,,,0,2022-10-03 09:25:41.671319,0,2022-10-03 09:25:41.671319
710,1,,415,,7,171122NoctuaComissão,ACTUAL,,171122NoctuaComissão,2022-11-17,2022-11-17,2022-11-17,t,f,,0.00,0.00,897.83,0.00,1,,,,,,MANUAL,,,,890,2022-11-17 10:07:49.950708,890,2022-11-17 10:07:49.950708
303,1,,6,42,124,37532,ACTUAL,,10910005916,2022-10-27,2022-10-03,2022-10-03,t,f,,0.00,0.00,179.99,0.00,1,,,,,,MANUAL,,,,890,2022-10-26 10:41:58.040625,890,2022-10-26 10:41:58.040625
78,1,,82,,186,12697,ACTUAL,,12697,2022-10-05,2022-09-19,2022-09-30,t,f,,0.00,0.00,10000.00,0.00,1,,,,,,MANUAL,,,,890,2022-10-05 08:22:43.710574,890,2022-10-05 08:22:43.710574
306,1,,32,45,53,2512327,ACTUAL,,2512327,2022-10-28,2022-10-20,2022-11-01,t,f,,0.00,0.00,416.72,0.00,2,,,,,,MANUAL,,,,890,2022-10-26 10:58:25.80085,890,2022-10-26 10:58:25.80085
507,1,,69,73,19,PROC(36580.48711) 1/1,ACTUAL,"Conta a pagar referente ao processamento de Pedido de Selo Distribuidor Credenciado com ID (384), originado por ZENATUR TRANSPORTES DE CARGAS LTDA, através da transação 48711 com a quantidade de 1 ucs. Pagamento  a vista.",DOC.36580.48711,2022-11-10,2022-10-31,2022-10-31,t,f,ASSETS,0.00,0.00,72.45,0.00,1,48711,,,,,AUTOMATIC,,,,0,2022-10-31 15:12:51.821028,0,2022-10-31 15:12:51.821028
42,1,,53,,19,PROC(36510.48005) 1/1,ACTUAL,"Conta a pagar referente ao processamento de Pedido de Certificado Tesouro Verde com ID (563), originado por VIA MARCONI VEICULOS LTDA, através da transação 48005 com a quantidade de 1 ucs. Pagamento  a vista.",DOC.36510.48005,2022-11-10,2022-10-03,2022-10-03,t,f,ASSETS,0.00,0.00,72.00,0.00,1,48005,,,,,AUTOMATIC,,,,0,2022-10-03 09:24:36.648734,0,2022-10-03 09:24:36.648734
59,1,,66,,19,PROC(36512.48026) 1/1,ACTUAL,"Conta a pagar referente ao processamento de Pedido de Certificado Tesouro Verde com ID (561), originado por BACABA VEICULOS LTDA, através da transação 48026 com a quantidade de 1 ucs. Pagamento  a vista.",DOC.36512.48026,2022-11-10,2022-10-03,2022-10-03,f,f,ASSETS,0.00,0.00,72.00,0.00,1,48026,,,,,AUTOMATIC,,,,0,2022-10-03 09:32:31.658081,0,2022-10-03 09:32:31.658081
56,1,,64,,19,PROC(36511.48015) 1/1,ACTUAL,"Conta a pagar referente ao processamento de Pedido de Certificado Tesouro Verde com ID (562), originado por MISO VEICULOS LTDA, através da transação 48015 com a quantidade de 1 ucs. Pagamento  a vista.",DOC.36511.48015,2022-11-10,2022-10-03,2022-10-03,t,f,ASSETS,0.00,0.00,72.00,0.00,1,48015,,,,,AUTOMATIC,,,,0,2022-10-03 09:25:41.687962,0,2022-10-03 09:25:41.687962
50,1,,59,,19,PROC(36511.48016) 1/1,ACTUAL,"Conta a pagar referente ao processamento de Pedido de Certificado Tesouro Verde com ID (562), originado por MISO VEICULOS LTDA, através da transação 48016 com a quantidade de 1 ucs. Pagamento  a vista.",DOC.36511.48016,2022-11-10,2022-10-03,2022-10-03,t,f,ASSETS,0.00,0.00,72.00,0.00,1,48016,,,,,AUTOMATIC,,,,0,2022-10-03 09:25:41.61221,0,2022-10-03 09:25:41.61221
58,1,,65,,19,PROC(36512.48021) 1/1,ACTUAL,"Conta a pagar referente ao processamento de Pedido de Certificado Tesouro Verde com ID (561), originado por BACABA VEICULOS LTDA, através da transação 48021 com a quantidade de 1 ucs. Pagamento  a vista.",DOC.36512.48021,2022-11-10,2022-10-03,2022-10-03,t,f,ASSETS,0.00,0.00,72.00,0.00,1,48021,,,,,AUTOMATIC,,,,0,2022-10-03 09:32:31.644977,0,2022-10-03 09:32:31.644977
741,1,,295,96,92,88808,ACTUAL,,34882830000011094,2022-11-21,2022-10-28,2022-10-28,t,f,,0.00,0.00,368.47,0.00,2,,,,,,MANUAL,,,,890,2022-11-21 09:03:19.698652,890,2022-11-21 09:03:19.698652
810,1,,34,,131,291122INSPIREIP,ACTUAL,,291122INSPIREIP,2022-11-29,2022-11-29,2022-11-29,t,t,OTHER,0.00,0.00,20000.00,0.00,2,,,,,,MANUAL,,,,890,2022-11-29 10:34:45.917071,890,2022-11-29 10:34:45.917071
696,1,,335,171,19,PROC(36625.48846) 1/1,ACTUAL,"Conta a pagar referente ao processamento de Pedido de Certificado Tesouro Verde com ID (564), originado por SAMBAZON, através da transação 48846 com a quantidade de 1 ucs. Pagamento  a vista.",DOC.36625.48846,2022-12-10,2022-11-16,2022-11-16,f,f,ASSETS,0.00,0.00,72.00,0.00,1,48846,,,,,AUTOMATIC,,,,0,2022-11-16 09:37:59.864159,0,2022-11-16 09:37:59.864159
772,1,,425,,98,251122Banco de couro no Renegade,ACTUAL,,251122Banco de couro no Renegade,2022-11-25,2022-11-25,2022-11-25,t,t,,0.00,0.00,1800.00,0.00,2,,,,,,MANUAL,,,,890,2022-11-25 13:05:00.721228,890,2022-11-25 13:05:13.721707
742,1,,307,97,186,11826690,ACTUAL,,11826690,2022-11-21,2022-11-17,2022-11-17,t,f,,0.00,0.00,3117.48,0.00,2,,,,,,MANUAL,,,,890,2022-11-21 09:10:53.914965,890,2022-11-21 09:10:53.914965
2907,1,,436,,124,1194,ACTUAL,HONORÁRIOS ADVOCATÍCIOS\n,1194,2023-04-28,2023-04-16,2023-04-16,t,f,,0.0,0.0,13686.46,0.0,3,,,,,,MANUAL,,,,1406,2023-04-28 09:43:20.586594,1406,2023-04-28 09:43:20.586594
740,1,,294,95,132,09000009056109,ACTUAL,,09000009056109,2022-11-21,2022-11-03,2022-11-03,t,f,,0.00,0.00,7767.71,0.00,1,,,,,,MANUAL,,,,890,2022-11-21 08:57:04.20187,890,2022-11-21 08:57:04.20187
