id,created_by,created_date,last_modified_by,last_modified_date,reason_description,type_reason,ucs_amount,payment_type,price,status,total,billet_id,issuer_id,fee,distribution_id,basket_fee_id,additional_info,discount,promo_code_id,commission_sum,commission_id,order_book_queue_id,origin_platform_id,recipient_platform_id
17,728,2023-05-02 14:48:37.606635,1410,2023-05-17 15:11:23.706025,,,5,ELECTRONIC_TRANSFER,161.47,PROCESSING_FAILURE,0.00,,728,1.00,36881,13,"{""paymentDate"": ""2023-05-03T14:15:14.110279049-03:00"", ""additionalCreditCardPaymentInfo"": null}",0.00,,0.00,,,4,4
13,148,2023-01-26 16:34:16.69609,1411,2023-02-01 11:48:04.381874,,,5,ELECTRONIC_TRANSFER,143.82,PROCESSED,719.10,,148,1.00,36738,13,"{""paymentDate"": ""2023-02-01T11:47:55.628213434-03:00"", ""additionalCreditCardPaymentInfo"": null}",,,,,,4,4
6,1295,2022-08-04 11:09:58.226239,918,2022-08-04 13:45:15.708371,,,109,ELECTRONIC_TRANSFER,144.37,PROCESSED,15736.33,,1295,1.00,36414,13,,,,,,,4,4
23,1662,2023-07-20 15:38:56.567723,1410,2023-07-24 08:04:20.61377,,,1,ELECTRONIC_TRANSFER,141.91,PROCESSED,0.00,,1662,1.00,37109,13,"{""paymentDate"": ""2023-07-24T08:04:14.074433995-03:00"", ""additionalCreditCardPaymentInfo"": null}",0.00,,0.00,,,4,4
5,1151,2022-06-22 14:09:44.992957,918,2022-08-04 13:45:21.448138,,,1,ELECTRONIC_TRANSFER,145.59,PROCESSED,145.59,,1151,1.00,36416,13,,,,,,,4,4
20,1549,2023-05-23 18:00:39.467714,1410,2023-06-06 13:52:52.781241,,,2,ELECTRONIC_TRANSFER,152.19,PROCESSED,0.00,,1549,1.00,37004,13,"{""paymentDate"": ""2023-06-06T13:52:46.646298169-03:00"", ""additionalCreditCardPaymentInfo"": null}",0.00,,0.00,,,4,4
19,728,2023-05-18 10:35:49.119978,1410,2023-05-19 09:16:21.607338,,,4,ELECTRONIC_TRANSFER,152.19,PROCESSED,0.00,,728,1.00,36927,13,"{""paymentDate"": ""2023-05-19T09:16:12.877048082-03:00"", ""additionalCreditCardPaymentInfo"": null}",0.00,,0.00,,,4,4
22,6,2023-06-26 14:04:54.928671,1410,2023-06-26 14:06:43.890526,,,24,ELECTRONIC_TRANSFER,144.34,PROCESSED,0.00,,6,1.00,37052,13,"{""paymentDate"": ""2023-06-26T14:06:35.750120654-03:00"", ""additionalCreditCardPaymentInfo"": null}",0.00,,0.00,,,4,4
26,1632,2024-06-21 14:46:13.781829,890,2024-07-09 17:08:52.816244,,,1,,135.16,PROCESSED,0.00,,1632,1.00,37808,13,,0.00,,0.00,,,4,4
29,2082,2024-07-04 16:14:52.660011,933,2024-07-04 16:45:56.12295,,,1,,132.90,PROCESSED,0.00,,2082,1.00,37790,13,,0.00,,0.00,,,4,4
37,1762,2024-11-27 14:39:40.149484,933,2024-11-28 11:32:53.10732,,,10,,184.71,PROCESSED,0.00,,1762,1.00,39235,13,,0.00,,0.00,,,4,4
30,1752,2024-07-05 15:01:15.665269,890,2024-07-05 17:33:22.077986,,,42,,132.90,PROCESSED,0.00,,1752,1.00,37804,13,,0.00,,0.00,,,4,4
28,1752,2024-07-02 18:09:00.439144,890,2024-07-05 17:33:55.565477,,,42,,135.16,ARCHIVED,0.00,,1752,1.00,,13,,0.00,,0.00,,,,
27,1752,2024-07-02 18:08:47.375063,890,2024-07-05 17:34:00.883491,,,1,,135.16,ARCHIVED,0.00,,1752,1.00,,13,,0.00,,0.00,,,,
24,1172,2024-01-23 15:00:46.86448,890,2024-07-09 17:02:01.189116,,,1,,127.18,ARCHIVED,0.00,,1172,1.00,,13,,0.00,,0.00,,,,
31,1172,2024-07-11 08:40:58.485407,890,2024-07-11 10:56:49.477519,,,1,,132.90,PROCESSED,0.00,,1172,1.00,37829,13,,0.00,,0.00,,,4,4
32,2072,2024-07-11 12:41:41.395058,890,2024-07-15 14:52:39.805421,,,1,,132.90,ARCHIVED,0.00,,2072,1.00,,13,,0.00,,0.00,,,,
25,631,2024-06-19 12:21:17.4391,890,2024-07-09 17:08:34.942672,,,5,,135.16,PROCESSED,0.00,,631,1.00,37806,13,,0.00,,0.00,,,4,4
36,2177,2024-11-27 11:18:59.631424,933,2024-11-28 11:33:08.244263,,,94,,184.71,PROCESSED,0.00,,2177,1.00,39237,13,,0.00,,0.00,,,4,4
38,2182,2024-11-28 13:21:15.609618,918,2024-11-28 14:37:44.935065,errado,INCORRECT_DATA,1,,184.71,DENIED,0.00,,2182,1.00,,13,,0.00,,0.00,,,,
33,46,2024-07-12 11:44:23.773578,890,2024-07-15 15:09:56.832819,,,5,,132.90,PROCESSED,0.00,,46,1.00,37840,13,,0.00,,0.00,,,4,4
40,2176,2024-11-28 15:04:32.125058,933,2024-11-28 16:10:12.484034,,,93,,184.71,PROCESSED,0.00,,2176,1.00,39245,13,,0.00,,0.00,,,4,4
41,1757,2024-12-02 12:03:07.241691,933,2024-12-02 12:08:48.281278,,,65,,184.71,PROCESSED,0.00,,1757,1.00,39252,13,,0.00,,0.00,,,4,4
42,1700,2024-12-15 15:54:59.07073,890,2024-12-16 15:58:04.40703,,,130000,,202.74,ARCHIVED,0.00,,1700,1.00,,13,,0.00,,0.00,,,,
39,2182,2024-11-28 13:24:19.61453,933,2024-11-28 16:10:28.368087,,,136,,184.71,PROCESSED,0.00,,2182,1.00,39247,13,,0.00,,0.00,,,4,4
46,2123,2025-05-09 16:32:12.433091,890,2025-05-12 09:38:31.043143,,,4631,,179.37,PROCESSED,0.00,,2123,1.00,39367,13,,0.00,,0.00,,,4,4
34,710,2024-11-25 06:20:26.667218,710,2024-11-25 06:20:26.667218,,,1,,184.71,ARCHIVED,0.00,,710,1.00,,13,,0.00,,0.00,,,,
47,2123,2025-05-15 10:25:59.562959,890,2025-05-15 10:26:59.226335,,,3091,,179.37,PROCESSED,0.00,,2123,1.00,39371,13,,0.00,,0.00,,,4,4
35,710,2024-11-25 06:20:36.548705,710,2024-11-25 06:20:36.548705,,,1,,184.71,ARCHIVED,0.00,,710,1.00,,13,,0.00,,0.00,,,,
43,1227,2024-12-27 08:45:40.049653,1227,2024-12-27 08:45:40.049653,,,1,,202.74,ARCHIVED,0.00,,1227,1.00,,13,,0.00,,0.00,,,,
44,710,2025-01-20 14:50:38.98831,710,2025-01-20 14:50:38.98831,,,1,,188.75,ARCHIVED,0.00,,710,1.00,,13,,0.00,,0.00,,,,
52,46,2025-07-14 12:55:05.790199,890,2025-07-22 14:20:11.503974,,,1,,191.68,ARCHIVED,0.00,,46,1.00,,13,,0.00,,0.00,,,,
45,2099,2025-04-11 21:03:41.615138,2099,2025-04-11 21:03:41.615138,,,4015,,213.93,ARCHIVED,0.00,,2099,1.00,,13,,0.00,,0.00,,,,
48,1866,2025-06-25 10:55:38.344813,1866,2025-06-25 10:55:38.344813,,,6001,,192.35,ARCHIVED,0.00,,1866,1.00,,13,,0.00,,0.00,,,,
49,1883,2025-06-25 11:00:29.348804,1883,2025-06-25 11:00:29.348804,,,11000,,192.35,ARCHIVED,0.00,,1883,1.00,,13,,0.00,,0.00,,,,
51,46,2025-07-14 12:54:54.704596,890,2025-07-14 14:56:06.188316,,,1,,191.68,PROCESSED,0.00,,46,1.00,39424,13,,0.00,,0.00,,,4,4
50,631,2025-07-07 11:10:12.182768,890,2025-07-22 14:19:52.128286,,,5,,191.68,PROCESSED,0.00,,631,1.00,39430,13,,0.00,,0.00,,,4,4
53,2047,2025-07-22 14:17:01.82637,890,2025-07-22 14:20:48.386593,,,1,,191.68,PROCESSED,0.00,,2047,1.00,39432,13,,0.00,,0.00,,,4,4
