id,bill_to_pay_id,payment_date,payment_type,paid_amount,interest,fine,discount,created_by,last_modified_by,created_date,last_modified_date,automatic
101,123,2022-10-14,PAYMENT_Q,100.00,0.00,0.00,0.00,,,,,
102,108,2022-10-14,PAYMENT_Q,19991.25,0.00,0.00,0.00,,,,,
103,126,2022-10-14,PAYMENT_Q,355.76,0.00,0.00,0.00,,,,,
104,124,2022-10-14,PAYMENT_Q,10010.00,0.00,0.00,0.00,,,,,
105,131,2022-10-17,PAYMENT_Q,368.24,0.00,0.00,0.00,,,,,
106,130,2022-10-17,PAYMENT_Q,107.34,0.00,0.00,0.00,,,,,
107,133,2022-10-17,PAYMENT_Q,7235.64,0.00,0.00,0.00,,,,,
108,138,2022-10-17,PAYMENT_Q,736.37,0.00,0.00,0.00,,,,,
109,137,2022-10-17,PAYMENT_Q,13037.00,0.00,0.00,0.00,,,,,
110,136,2022-10-17,PAYMENT_Q,180.00,0.00,0.00,0.00,,,,,
111,134,2022-10-17,PAYMENT_Q,612.25,0.00,0.00,0.00,,,,,
112,135,2022-10-17,PAYMENT_Q,158.87,0.00,0.00,0.00,,,,,
113,132,2022-10-17,PAYMENT_Q,371.87,0.00,0.00,0.00,,,,,
114,128,2022-10-17,PAYMENT_Q,187.00,0.00,0.00,0.00,,,,,
115,129,2022-10-17,PAYMENT_Q,320.16,0.00,0.00,0.00,,,,,
116,140,2022-10-18,PAYMENT_Q,1000.00,0.00,0.00,0.00,890,890,2022-10-18 16:21:31.050576,2022-10-18 16:21:31.050576,t
117,139,2022-10-18,PAYMENT_Q,229.00,0.00,0.00,0.00,890,890,2022-10-18 16:21:31.055251,2022-10-18 16:21:31.055251,t
118,146,2022-10-19,PAYMENT_Q,4522.01,0.00,0.00,0.00,890,890,2022-10-19 17:48:52.102743,2022-10-19 17:48:52.102743,f
119,160,2022-10-20,PAYMENT_Q,1875.15,0.00,0.00,0.00,890,890,2022-10-20 14:43:09.946304,2022-10-20 14:43:09.946304,t
120,161,2022-10-20,PAYMENT_Q,7864.00,0.00,0.00,0.00,890,890,2022-10-20 14:43:09.953927,2022-10-20 14:43:09.953927,t
121,158,2022-10-20,PAYMENT_Q,1626.75,0.00,0.00,0.00,890,890,2022-10-20 14:43:09.959666,2022-10-20 14:43:09.959666,t
122,159,2022-10-20,PAYMENT_Q,998.10,0.00,0.00,0.00,890,890,2022-10-20 14:43:09.964735,2022-10-20 14:43:09.964735,t
123,163,2022-10-20,PAYMENT_Q,229.00,0.00,0.00,0.00,890,890,2022-10-20 16:19:34.998519,2022-10-20 16:19:34.998519,t
124,162,2022-10-20,PAYMENT_Q,4000.00,0.00,0.00,0.00,890,890,2022-10-20 16:19:35.013272,2022-10-20 16:19:35.013272,t
125,150,2022-10-20,PAYMENT_Q,1873.77,0.00,0.00,0.00,890,890,2022-10-25 13:28:22.780651,2022-10-25 13:28:22.780651,t
126,148,2022-10-20,PAYMENT_Q,9862.54,0.00,0.00,0.00,890,890,2022-10-25 13:28:22.78901,2022-10-25 13:28:22.78901,t
127,155,2022-10-20,PAYMENT_Q,2020.52,0.00,0.00,0.00,890,890,2022-10-25 13:28:22.795161,2022-10-25 13:28:22.795161,t
128,152,2022-10-20,PAYMENT_Q,132.45,0.00,0.00,0.00,890,890,2022-10-25 13:28:22.800055,2022-10-25 13:28:22.800055,t
129,149,2022-10-20,PAYMENT_Q,890.30,0.00,0.00,0.00,890,890,2022-10-25 13:28:22.805309,2022-10-25 13:28:22.805309,t
130,156,2022-10-20,PAYMENT_Q,642.46,0.00,0.00,0.00,890,890,2022-10-25 13:28:22.812371,2022-10-25 13:28:22.812371,t
131,157,2022-10-20,PAYMENT_Q,23595.64,0.00,0.00,0.00,890,890,2022-10-25 13:28:22.867895,2022-10-25 13:28:22.867895,t
132,151,2022-10-20,PAYMENT_Q,149.90,0.00,0.00,0.00,890,890,2022-10-25 13:28:22.89413,2022-10-25 13:28:22.89413,t
133,153,2022-10-20,PAYMENT_Q,3117.48,0.00,0.00,0.00,890,890,2022-10-25 13:28:22.909764,2022-10-25 13:28:22.909764,t
134,154,2022-10-20,PAYMENT_Q,48.15,0.00,0.00,0.00,890,890,2022-10-25 13:28:22.923067,2022-10-25 13:28:22.923067,t
135,147,2022-10-20,PAYMENT_Q,89.85,0.00,0.00,0.00,890,890,2022-10-25 13:28:22.935595,2022-10-25 13:28:22.935595,t
136,291,2022-10-21,PAYMENT_Q,7000.00,0.00,0.00,0.00,890,890,2022-10-25 13:52:53.669646,2022-10-25 13:52:53.669646,t
137,292,2022-10-21,PAYMENT_Q,270.00,0.00,0.00,0.00,890,890,2022-10-25 13:52:53.676164,2022-10-25 13:52:53.676164,t
138,293,2022-10-21,PAYMENT_Q,1000.00,0.00,0.00,0.00,890,890,2022-10-25 13:52:53.682209,2022-10-25 13:52:53.682209,t
139,294,2022-10-21,PAYMENT_Q,158.89,0.00,0.00,0.00,890,890,2022-10-25 13:52:53.687375,2022-10-25 13:52:53.687375,t
140,299,2022-10-25,PAYMENT_Q,122.05,0.00,0.00,0.00,890,890,2022-10-25 13:53:24.452924,2022-10-25 13:53:24.452924,t
141,300,2022-10-25,PAYMENT_Q,26.44,0.00,0.00,0.00,890,890,2022-10-25 13:53:24.458064,2022-10-25 13:53:24.458064,t
142,297,2022-10-25,PAYMENT_Q,60.00,0.00,0.00,0.00,890,890,2022-10-25 13:53:24.463779,2022-10-25 13:53:24.463779,t
143,298,2022-10-25,PAYMENT_Q,156.55,0.00,0.00,0.00,890,890,2022-10-25 13:53:24.470316,2022-10-25 13:53:24.470316,t
144,296,2022-10-25,PAYMENT_Q,29550.44,0.00,0.00,0.00,890,890,2022-10-25 13:53:43.426678,2022-10-25 13:53:43.426678,t
145,302,2022-10-25,PAYMENT_Q,3030.00,0.00,0.00,0.00,890,890,2022-10-25 13:53:43.437951,2022-10-25 13:53:43.437951,t
146,350,2022-10-27,PAYMENT_Q,8787.00,0.00,0.00,0.00,890,890,2022-10-27 10:27:29.999777,2022-10-27 10:27:29.999777,t
147,427,2022-10-27,PAYMENT_Q,8787.00,0.00,0.00,0.00,890,890,2022-10-27 10:27:30.007874,2022-10-27 10:27:30.007874,t
512,513,2022-11-10,PAYMENT_Q,68.37,0.00,0.00,0.00,933,933,2022-11-11 14:40:57.462297,2022-11-11 14:40:57.462297,t
149,344,2022-10-27,PAYMENT_Q,8787.00,0.00,0.00,0.00,890,890,2022-10-27 10:27:30.024202,2022-10-27 10:27:30.024202,t
150,338,2022-10-27,PAYMENT_Q,8787.00,0.00,0.00,0.00,890,890,2022-10-27 10:27:30.033406,2022-10-27 10:27:30.033406,t
151,319,2022-10-27,PAYMENT_Q,8787.00,0.00,0.00,0.00,890,890,2022-10-27 10:27:30.040009,2022-10-27 10:27:30.040009,t
152,345,2022-10-27,PAYMENT_Q,8787.00,0.00,0.00,0.00,890,890,2022-10-27 10:27:30.046072,2022-10-27 10:27:30.046072,t
513,443,2022-11-10,PAYMENT_Q,72.45,0.00,0.00,0.00,933,933,2022-11-11 14:40:57.472772,2022-11-11 14:40:57.472772,t
154,346,2022-10-27,PAYMENT_Q,8787.00,0.00,0.00,0.00,890,890,2022-10-27 10:27:30.062051,2022-10-27 10:27:30.062051,t
155,341,2022-10-27,PAYMENT_Q,8787.00,0.00,0.00,0.00,890,890,2022-10-27 10:27:30.069617,2022-10-27 10:27:30.069617,t
156,322,2022-10-27,PAYMENT_Q,8787.00,0.00,0.00,0.00,890,890,2022-10-27 10:27:30.076985,2022-10-27 10:27:30.076985,t
514,520,2022-11-10,PAYMENT_Q,68.37,0.00,0.00,0.00,933,933,2022-11-11 14:40:57.49,2022-11-11 14:40:57.49,t
158,323,2022-10-27,PAYMENT_Q,8787.00,0.00,0.00,0.00,890,890,2022-10-27 10:27:30.089064,2022-10-27 10:27:30.089064,t
159,336,2022-10-27,PAYMENT_Q,8787.00,0.00,0.00,0.00,890,890,2022-10-27 10:27:30.096444,2022-10-27 10:27:30.096444,t
160,369,2022-10-27,PAYMENT_Q,8787.00,0.00,0.00,0.00,890,890,2022-10-27 10:28:12.73844,2022-10-27 10:28:12.73844,t
515,463,2022-11-10,PAYMENT_Q,72.45,0.00,0.00,0.00,933,933,2022-11-11 14:40:57.508071,2022-11-11 14:40:57.508071,t
162,402,2022-10-27,PAYMENT_Q,8787.00,0.00,0.00,0.00,890,890,2022-10-27 10:28:12.751054,2022-10-27 10:28:12.751054,t
163,428,2022-10-27,PAYMENT_Q,8787.00,0.00,0.00,0.00,890,890,2022-10-27 10:28:12.758983,2022-10-27 10:28:12.758983,t
164,416,2022-10-27,PAYMENT_Q,8787.00,0.00,0.00,0.00,890,890,2022-10-27 10:28:12.764925,2022-10-27 10:28:12.764925,t
165,404,2022-10-27,PAYMENT_Q,8787.00,0.00,0.00,0.00,890,890,2022-10-27 10:28:12.772966,2022-10-27 10:28:12.772966,t
166,417,2022-10-27,PAYMENT_Q,8787.00,0.00,0.00,0.00,890,890,2022-10-27 10:28:12.778683,2022-10-27 10:28:12.778683,t
516,143,2022-11-10,PAYMENT_Q,72.00,0.00,0.00,0.00,933,933,2022-11-11 14:40:57.521405,2022-11-11 14:40:57.521405,t
168,374,2022-10-27,PAYMENT_Q,8787.00,0.00,0.00,0.00,890,890,2022-10-27 10:28:12.790203,2022-10-27 10:28:12.790203,t
169,406,2022-10-27,PAYMENT_Q,8787.00,0.00,0.00,0.00,890,890,2022-10-27 10:28:12.795243,2022-10-27 10:28:12.795243,t
170,419,2022-10-27,PAYMENT_Q,8787.00,0.00,0.00,0.00,890,890,2022-10-27 10:28:12.800878,2022-10-27 10:28:12.800878,t
171,394,2022-10-27,PAYMENT_Q,8787.00,0.00,0.00,0.00,890,890,2022-10-27 10:28:12.806739,2022-10-27 10:28:12.806739,t
517,444,2022-11-10,PAYMENT_Q,72.45,0.00,0.00,0.00,933,933,2022-11-11 14:40:57.537073,2022-11-11 14:40:57.537073,t
173,430,2022-10-27,PAYMENT_Q,8787.00,0.00,0.00,0.00,890,890,2022-10-27 10:28:24.171949,2022-10-27 10:28:24.171949,t
174,312,2022-10-27,PAYMENT_Q,17574.00,0.00,0.00,0.00,890,890,2022-10-27 10:28:24.187562,2022-10-27 10:28:24.187562,t
175,408,2022-10-27,PAYMENT_Q,8787.00,0.00,0.00,0.00,890,890,2022-10-27 10:28:24.192747,2022-10-27 10:28:24.192747,t
176,325,2022-10-27,PAYMENT_Q,26361.00,0.00,0.00,0.00,890,890,2022-10-27 10:28:24.203871,2022-10-27 10:28:24.203871,t
177,412,2022-10-27,PAYMENT_Q,17574.00,0.00,0.00,0.00,890,890,2022-10-27 10:28:24.209093,2022-10-27 10:28:24.209093,t
178,348,2022-10-27,PAYMENT_Q,35148.00,0.00,0.00,0.00,890,890,2022-10-27 10:28:24.219535,2022-10-27 10:28:24.219535,t
179,332,2022-10-27,PAYMENT_Q,43935.00,0.00,0.00,0.00,890,890,2022-10-27 10:28:24.228203,2022-10-27 10:28:24.228203,t
180,432,2022-10-27,PAYMENT_Q,8787.00,0.00,0.00,0.00,890,890,2022-10-27 10:28:24.238751,2022-10-27 10:28:24.238751,t
181,429,2022-10-27,PAYMENT_Q,8787.00,0.00,0.00,0.00,890,890,2022-10-27 10:28:24.248956,2022-10-27 10:28:24.248956,t
182,315,2022-10-27,PAYMENT_Q,8787.00,0.00,0.00,0.00,933,933,2022-10-27 14:39:35.57376,2022-10-27 14:39:35.57376,t
183,415,2022-10-27,PAYMENT_Q,8787.00,0.00,0.00,0.00,933,933,2022-10-27 14:39:35.580166,2022-10-27 14:39:35.580166,t
184,393,2022-10-27,PAYMENT_Q,8787.00,0.00,0.00,0.00,933,933,2022-10-27 14:39:35.584723,2022-10-27 14:39:35.584723,t
518,457,2022-11-10,PAYMENT_Q,72.45,0.00,0.00,0.00,933,933,2022-11-11 14:40:57.54777,2022-11-11 14:40:57.54777,t
186,435,2022-10-27,PAYMENT_Q,8787.00,0.00,0.00,0.00,933,933,2022-10-27 14:39:35.596967,2022-10-27 14:39:35.596967,t
187,333,2022-10-27,PAYMENT_Q,8787.00,0.00,0.00,0.00,933,933,2022-10-27 14:39:35.602939,2022-10-27 14:39:35.602939,t
188,314,2022-10-27,PAYMENT_Q,8787.00,0.00,0.00,0.00,933,933,2022-10-27 14:39:35.606602,2022-10-27 14:39:35.606602,t
189,304,2022-10-27,PAYMENT_Q,2500.00,0.00,0.00,0.00,933,933,2022-10-27 14:41:44.032431,2022-10-27 14:41:44.032431,t
190,308,2022-10-27,PAYMENT_Q,644.54,0.00,0.00,0.00,933,933,2022-10-27 14:41:44.042993,2022-10-27 14:41:44.042993,t
191,305,2022-10-27,PAYMENT_Q,2500.00,0.00,0.00,0.00,933,933,2022-10-27 14:41:44.052874,2022-10-27 14:41:44.052874,t
192,303,2022-10-27,PAYMENT_Q,179.99,0.00,0.00,0.00,933,933,2022-10-27 14:41:44.061998,2022-10-27 14:41:44.061998,t
193,436,2022-10-27,PAYMENT_Q,21816.00,0.00,0.00,0.00,890,890,2022-10-27 16:24:07.547679,2022-10-27 16:24:07.547679,t
194,403,2022-10-27,PAYMENT_Q,8787.00,0.00,0.00,0.00,890,890,2022-10-27 16:36:32.861555,2022-10-27 16:36:32.861555,t
195,378,2022-10-27,PAYMENT_Q,8787.00,0.00,0.00,0.00,890,890,2022-10-27 16:36:32.867622,2022-10-27 16:36:32.867622,t
196,330,2022-10-27,PAYMENT_Q,8787.00,0.00,0.00,0.00,890,890,2022-10-27 16:36:32.8725,2022-10-27 16:36:32.8725,t
197,311,2022-10-27,PAYMENT_Q,8787.00,0.00,0.00,0.00,890,890,2022-10-27 16:36:32.876837,2022-10-27 16:36:32.876837,t
198,423,2022-10-27,PAYMENT_Q,8787.00,0.00,0.00,0.00,890,890,2022-10-27 16:36:32.880545,2022-10-27 16:36:32.880545,t
199,339,2022-10-27,PAYMENT_Q,8787.00,0.00,0.00,0.00,890,890,2022-10-27 17:23:14.196319,2022-10-27 17:23:14.196319,t
200,321,2022-10-27,PAYMENT_Q,8787.00,0.00,0.00,0.00,890,890,2022-10-27 17:23:41.550569,2022-10-27 17:23:41.550569,t
201,358,2022-10-27,PAYMENT_Q,8787.00,0.00,0.00,0.00,890,890,2022-10-27 17:23:41.55457,2022-10-27 17:23:41.55457,t
202,307,2022-10-28,PAYMENT_Q,217.83,0.00,0.00,0.00,890,890,2022-10-28 10:42:29.018416,2022-10-28 10:42:29.018416,t
203,306,2022-10-28,PAYMENT_Q,416.72,0.00,0.00,0.00,890,890,2022-10-28 10:42:29.037582,2022-10-28 10:42:29.037582,t
204,489,2022-10-28,PAYMENT_Q,1010.00,0.00,0.00,0.00,890,890,2022-10-28 13:32:51.75605,2022-10-28 13:32:51.75605,t
205,490,2022-10-28,PAYMENT_Q,180.00,0.00,0.00,0.00,890,890,2022-10-28 13:33:01.192441,2022-10-28 13:33:01.192441,t
206,328,2022-10-28,PAYMENT_Q,8787.00,0.00,0.00,0.00,890,890,2022-10-28 13:33:21.258158,2022-10-28 13:33:21.258158,t
207,434,2022-10-28,PAYMENT_Q,8787.00,0.00,0.00,0.00,890,890,2022-10-28 15:03:07.239529,2022-10-28 15:03:07.239529,t
208,370,2022-10-28,PAYMENT_Q,8787.00,0.00,0.00,0.00,890,890,2022-10-28 15:03:07.243899,2022-10-28 15:03:07.243899,t
210,387,2022-10-28,PAYMENT_Q,8787.00,0.00,0.00,0.00,890,890,2022-10-28 15:03:07.260021,2022-10-28 15:03:07.260021,t
211,413,2022-10-28,PAYMENT_Q,8787.00,0.00,0.00,0.00,890,890,2022-10-28 15:03:07.266373,2022-10-28 15:03:07.266373,t
215,491,2022-10-28,PAYMENT_Q,4444.00,0.00,0.00,0.00,890,890,2022-10-28 16:26:51.690465,2022-10-28 16:26:51.690465,t
216,331,2022-10-28,PAYMENT_Q,8787.00,0.00,0.00,0.00,934,934,2022-10-28 17:02:11.43003,2022-10-28 17:02:11.43003,t
217,418,2022-10-28,PAYMENT_Q,8787.00,0.00,0.00,0.00,934,934,2022-10-28 17:02:11.434446,2022-10-28 17:02:11.434446,t
218,431,2022-10-28,PAYMENT_Q,8787.00,0.00,0.00,0.00,934,934,2022-10-28 17:02:11.437987,2022-10-28 17:02:11.437987,t
219,326,2022-10-28,PAYMENT_Q,8787.00,0.00,0.00,0.00,934,934,2022-10-28 17:02:11.441914,2022-10-28 17:02:11.441914,t
220,365,2022-10-28,PAYMENT_Q,8787.00,0.00,0.00,0.00,934,934,2022-10-28 17:02:11.445834,2022-10-28 17:02:11.445834,t
221,492,2022-10-28,PAYMENT_Q,4444.00,0.00,0.00,0.00,890,890,2022-10-31 09:44:15.659666,2022-10-31 09:44:15.659666,t
222,420,2022-10-31,PAYMENT_Q,8787.00,0.00,0.00,0.00,890,890,2022-10-31 14:01:21.377532,2022-10-31 14:01:21.377532,t
223,395,2022-10-31,PAYMENT_Q,8787.00,0.00,0.00,0.00,890,890,2022-10-31 14:01:21.389546,2022-10-31 14:01:21.389546,t
224,493,2022-10-31,PAYMENT_Q,4444.00,0.00,0.00,0.00,890,890,2022-10-31 14:01:31.738148,2022-10-31 14:01:31.738148,t
225,501,2022-10-31,PAYMENT_Q,842.01,0.00,0.00,0.00,890,890,2022-10-31 14:02:59.216982,2022-10-31 14:02:59.216982,t
226,495,2022-10-31,PAYMENT_Q,43320.87,0.00,0.00,0.00,890,890,2022-10-31 14:02:59.231344,2022-10-31 14:02:59.231344,t
228,500,2022-10-31,PAYMENT_Q,1299.88,0.00,0.00,0.00,890,890,2022-10-31 14:03:18.505297,2022-10-31 14:03:18.505297,t
229,499,2022-10-31,PAYMENT_Q,715.48,0.00,0.00,0.00,890,890,2022-10-31 14:03:18.523306,2022-10-31 14:03:18.523306,t
230,313,2022-10-31,PAYMENT_Q,8787.00,0.00,0.00,0.00,890,890,2022-10-31 17:46:11.47056,2022-10-31 17:46:11.47056,t
231,397,2022-10-31,PAYMENT_Q,8787.00,0.00,0.00,0.00,890,890,2022-10-31 17:46:53.603871,2022-10-31 17:46:53.603871,t
232,401,2022-10-31,PAYMENT_Q,8787.00,0.00,0.00,0.00,890,890,2022-10-31 17:46:53.627444,2022-10-31 17:46:53.627444,t
233,373,2022-10-31,PAYMENT_Q,35148.00,0.00,0.00,0.00,890,890,2022-10-31 17:53:28.827226,2022-10-31 17:53:28.827226,t
234,367,2022-10-31,PAYMENT_Q,8787.00,0.00,0.00,0.00,890,890,2022-10-31 17:53:28.84659,2022-10-31 17:53:28.84659,t
235,422,2022-10-31,PAYMENT_Q,17574.00,0.00,0.00,0.00,890,890,2022-10-31 17:53:28.862945,2022-10-31 17:53:28.862945,t
236,371,2022-10-31,PAYMENT_Q,8787.00,0.00,0.00,0.00,890,890,2022-10-31 17:53:28.879451,2022-10-31 17:53:28.879451,t
238,372,2022-10-31,PAYMENT_Q,26361.00,0.00,0.00,0.00,890,890,2022-10-31 17:53:28.912417,2022-10-31 17:53:28.912417,t
239,414,2022-10-31,PAYMENT_Q,8787.00,0.00,0.00,0.00,890,890,2022-10-31 17:53:28.927548,2022-10-31 17:53:28.927548,t
240,398,2022-10-31,PAYMENT_Q,8787.00,0.00,0.00,0.00,890,890,2022-10-31 17:53:28.940552,2022-10-31 17:53:28.940552,t
253,310,2022-10-31,PAYMENT_Q,8787.00,0.00,0.00,0.00,933,933,2022-11-01 09:30:09.392148,2022-11-01 09:30:09.392148,t
254,352,2022-10-31,PAYMENT_Q,8787.00,0.00,0.00,0.00,933,933,2022-11-01 09:30:09.399043,2022-11-01 09:30:09.399043,t
255,320,2022-10-31,PAYMENT_Q,8787.00,0.00,0.00,0.00,933,933,2022-11-01 09:30:09.405385,2022-11-01 09:30:09.405385,t
256,327,2022-10-31,PAYMENT_Q,8787.00,0.00,0.00,0.00,933,933,2022-11-01 09:30:09.415366,2022-11-01 09:30:09.415366,t
257,347,2022-10-31,PAYMENT_Q,8787.00,0.00,0.00,0.00,933,933,2022-11-01 09:30:09.424072,2022-11-01 09:30:09.424072,t
258,363,2022-10-31,PAYMENT_Q,8787.00,0.00,0.00,0.00,933,933,2022-11-01 09:30:09.432496,2022-11-01 09:30:09.432496,t
259,504,2022-10-31,PAYMENT_Q,2357.38,0.00,0.00,0.00,890,890,2022-11-01 11:52:04.560538,2022-11-01 11:52:04.560538,t
260,540,2022-11-01,PAYMENT_Q,3600.00,0.00,0.00,0.00,890,890,2022-11-03 10:07:52.726348,2022-11-03 10:07:52.726348,t
261,544,2022-11-01,PAYMENT_Q,9100.00,0.00,0.00,0.00,890,890,2022-11-03 10:08:02.025735,2022-11-03 10:08:02.025735,t
262,541,2022-11-01,PAYMENT_Q,9276.33,0.00,0.00,0.00,890,890,2022-11-03 10:08:11.014391,2022-11-03 10:08:11.014391,t
263,542,2022-11-01,PAYMENT_Q,1776.78,0.00,0.00,0.00,890,890,2022-11-03 10:08:11.026783,2022-11-03 10:08:11.026783,t
264,543,2022-11-01,PAYMENT_Q,2424.00,0.00,0.00,0.00,890,890,2022-11-03 10:08:11.038564,2022-11-03 10:08:11.038564,t
